"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
737|"2zjt2hHBbiv5SuxYg8Z7eP"|"Cyndi Lauper"|"Girls Just Want to Have Fun"|238120|"She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition)"|2|"2014-03-28"|22|0.707|0.788|6|-5.269|1|0.0333|0.214|0.000571|0.308|0.746|120.465|4
738|"79ynnbIoeTY83kAGNycCth"|"Rick James"|"Super Freak"|204133|"The Ultimate Collection: Rick James"|5|"1997-03-25"|13|0.866|0.74|9|-7.386|0|0.0616|0.0639|0|0.0405|0.961|132.517|4
739|"0yIywEquxORnu1dR0WYsdN"|"Justin Bieber"|"Love Me"|191573|"My World"|7|"2009-01-01"|7|0.729|0.868|3|-3.319|1|0.0609|0.00939|0|0.283|0.632|124.957|4
740|"1MtUq6Wp1eQ8PC6BbPCj8P"|"Mike Posner"|"I Took A Pill In Ibiza - Seeb Remix"|197933|"At Night, Alone."|13|"2016-05-06"|18|0.664|0.714|7|-6.645|0|0.111|0.0353|8.42e-06|0.0843|0.71|101.969|4
741|"4jbmgIyjGoXjY01XxatOx6"|"Katy Perry"|"Dark Horse"|215672|"PRISM"|6|"2013-01-01"|13|0.647|0.585|6|-6.123|1|0.0512|0.00314|0|0.165|0.353|131.934|4
742|"0gb1J5UrTpzaU1s3nupgCd"|"Galantis"|"No Money"|189126|"No Money"|1|"2016-04-01"|1|0.671|0.916|6|-4.014|0|0.0397|0.0282|0.00762|0.24|0.803|126.01|4
743|"1Je1IMUlBXcx1Fz0WE7oPT"|"Spice Girls"|"Wannabe"|173026|"Spice"|1|"1996-01-01"|10|0.768|0.864|11|-6.145|1|0.0324|0.101|0|0.162|0.891|110.008|4
744|"3vkQ5DAB1qQMYO4Mr9zJN6"|"ABBA"|"Gimme! Gimme! Gimme! (A Man After Midnight)"|292613|"Voulez-Vous"|13|"1979"|13|0.749|0.491|10|-9.655|1|0.0403|0.02|0.00899|0.159|0.536|119.528|4
745|"2Ty7EDf9XLYzEUqEIwJfDC"|"City Girls"|"Twerkulator"|138541|"Twerkulator"|1|"2021-05-21"|1|0.895|0.469|1|-5.882|1|0.0661|0.0012|4.56e-05|0.192|0.076|126.917|4
746|"60nZcImufyMA1MKQY3dcCH"|"Pharrell Williams"|"Happy - From ""Despicable Me 2"""|232720|"G I R L"|5|"2014-03-03"|11|0.647|0.822|5|-4.662|0|0.183|0.219|0|0.0908|0.962|160.019|4
747|"2Foc5Q5nqNiosCNqttzHof"|"Daft Punk"|"Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit"|248413|"Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit]"|1|"2013-04-19"|1|0.794|0.811|6|-8.966|0|0.038|0.0426|1.07e-06|0.101|0.862|116.047|4
748|"1YQ3SYZoB4X6EfWhpkirVc"|"Bizzey"|"JA!"|183790|"November"|2|"2018-02-16"|16|0.787|0.837|11|-6.482|0|0.0614|0.000862|0.0192|0.0887|0.441|94.999|4
749|"32OlwWuMpZ6b0aN2RZOeMS"|"Mark Ronson"|"Uptown Funk (feat. Bruno Mars)"|269666|"Uptown Special"|4|"2015-01-12"|11|0.856|0.609|0|-7.223|1|0.0824|0.00801|8.15e-05|0.0344|0.928|114.988|4
750|"3GpbwCm3YxiWDvy29Uo3vP"|"Flo Rida"|"Right Round"|204640|"R.O.O.T.S. (Route of Overcoming the Struggle)"|5|"2009-03-30"|13|0.72|0.672|7|-6.852|1|0.0551|0.009|0|0.232|0.705|124.986|4
751|"5bcTCxgc7xVfSaMV3RuVke"|"Calvin Harris"|"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"|223413|"Funk Wav Bounces Vol.1"|8|"2017-06-30"|10|0.893|0.745|11|-3.105|0|0.0571|0.0642|0|0.0943|0.872|101.018|4
