"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
337|"3d8y0t70g7hw2FOWl9Z4Fm"|"The Lumineers"|"Ophelia"|160097|"Cleopatra"|2|"2016-04-08"|11|0.664|0.573|5|-6.519|1|0.0277|0.613|0.000363|0.0857|0.566|76.023|4
338|"7cJQJNLthpH4YUtBcVLD6e"|"The Kid LAROI"|"TELL ME WHY"|195268|"F*CK LOVE"|8|"2020-07-22"|15|0.594|0.717|6|-5.047|0|0.152|0.121|0|0.166|0.43|149.933|4
339|"2Za1AlJNvksouPPWbXpR2X"|"Macklemore"|"Good Old Days (feat. Kesha)"|240506|"GEMINI"|6|"2017-09-22"|16|0.712|0.51|8|-8.162|1|0.0633|0.446|2.46e-05|0.112|0.268|122.964|4
340|"3c9LSxnx0AXdsXiewstFC1"|"Drake"|"Passionfruit"|298940|"More Life"|3|"2017-03-18"|22|0.81|0.457|11|-11.388|1|0.0395|0.25|0.07|0.109|0.358|111.981|4
341|"03fT3OHB9KyMtGMt2zwqCT"|"Luke Bryan"|"Play It Again"|226866|"Crash My Party"|9|"2013-01-01"|13|0.506|0.886|11|-3.225|1|0.0655|0.0916|0|0.0734|0.595|143.935|4
342|"2WKLUgklz0VDX5bKTZ3eYD"|"Chris Janson"|"Buy Me a Boat"|179077|"Buy Me a Boat"|1|"2015-10-30"|11|0.574|0.745|2|-6.663|1|0.0507|0.319|0|0.11|0.693|154.042|4
343|"3GCL1PydwsLodcpv0Ll1ch"|"Taylor Swift"|"You Belong With Me"|231133|"Fearless"|6|"2008-11-11"|13|0.687|0.783|6|-4.44|1|0.0386|0.162|1.35e-05|0.114|0.443|129.964|4
344|"15DeqWWQB4dcEWzJg15VrN"|"Taylor Swift"|"Our Song"|201106|"Taylor Swift"|11|"2006-10-24"|15|0.668|0.672|2|-4.931|1|0.0303|0.111|0|0.329|0.539|89.011|4
345|"5lEsM6qpuzuZwij6jIZPvP"|"Big Time Rush"|"Big Time Rush"|197586|"BTR"|11|"2010-10-11"|11|0.599|0.888|11|-2.931|0|0.0514|0.0273|0|0.28|0.833|121.05|4
346|"1rKBOL9kJfX1Y4C3QaOvRH"|"Big Time Rush"|"Boyfriend"|201040|"BTR"|2|"2010-10-11"|11|0.614|0.857|1|-4.171|0|0.111|0.0987|0|0.177|0.677|164.146|4
347|"1gkM82M0z4d4sx1WYnV3aC"|"Juice WRLD"|"All Girls Are The Same"|165819|"Goodbye & Good Riddance (Anniversary)"|2|"2021-05-28"|18|0.667|0.522|0|-7.347|1|0.291|0.0696|0.000352|0.0856|0.231|161.952|4
348|"0TCmhnbMpw5zwPsTvlXTJi"|"AURORA"|"Runaway"|248826|"All My Demons Greeting Me as a Friend (Deluxe)"|1|"2014"|17|0.521|0.277|11|-10.34|1|0.0356|0.634|7.07e-05|0.103|0.13|115.01|4
349|"5yEPktRqvIhko5QFF3aBhQ"|"Taylor Swift"|"Mean"|237733|"Speak Now"|6|"2010-10-25"|14|0.568|0.761|4|-3.987|1|0.0459|0.452|0|0.217|0.789|163.974|4
350|"44e84JcEUfOs9cNGu8nwU5"|"Aly & AJ"|"Like Whoa"|150826|"Insomniatic"|6|"2007-01-01"|12|0.703|0.806|8|-4.974|0|0.0555|0.00935|0.00056|0.0948|0.844|120.996|4
351|"22UDw8rSfLbUsaAGTXQ4Z8"|"Estelle"|"American Boy"|284733|"Shine"|3|"2008-03-28"|12|0.727|0.729|0|-2.99|1|0.326|0.171|0|0.07|0.512|117.932|4
352|"6Rdp4sAeb38xf8DByVG3Xs"|"Shady Moon"|"Cherry Blossoms"|138311|"Cherry Blossoms"|1|"2021-08-26"|1|0.79|0.343|8|-11.329|1|0.235|0.732|0.000274|0.201|0.466|117.952|4
